-45.64397585200002 -2.605092322999994  -0.26307381205191904 -0.06382924603637456 0.24505362613274592
-43.74412285200001 -1.0420363229999907  -0.2801123921533942 -0.05513043595301374 -68.85009438136558
-105.560599852 -109.838903323  -0.04642886646006524 0.20023068945036857
-103.66074585199999 -108.275847323  -0.300179210602599 -0.03708054788970214 0.17666454272695087
-101.76089285200001 -106.71279232299999  -0.3029393910240719 -0.026657278558617804 0.15269588217100327
-99.861039852 -105.149737323  -0.3005694786829909 -0.014507449559675546 0.12831489633322632
-97.961185852 -103.58668232299999  -0.2929672360277189 5.0969643129184524e-05 0.10348152183682552
-96.06133285199999 -102.023627323  -0.2801578371170979 0.01779039172879498 0.07826933525598886
-94.16147985200001 -100.460572323  -0.2621695185440084 0.039448513487292086 0.05250080523382729
-92.26162585200001 -98.89751632299999  -0.23903773035266945 0.0659389265948555 0.026055549659712556
-90.361772852 -97.334461323  -0.21119365742224758 0.09789279853261804 -0.0009626410498484097
-88.461919852 -95.771406323  -0.17916556819774804 0.13592110443166644 -0.028714765591478758
-86.56206585200002 -94.20835132299999  -0.1436197263482917 0.18036380897828 -0.057030901755022206
-84.66221285200001 -92.645296323  -0.10575215918878145 0.23116937175380203 -0.08546072246973556
-82.762359852 -91.08224132299999  -0.06707632385770956 0.2872479277821816 -0.11326268856199463
-80.862505852 -89.51918532299999  -0.029832331712632564 0.34635365188637446 -0.13891932335842833
-78.96265285199999 -87.956130323  0.0029485674541649205 0.40517538750213267 -0.16038187149212355
-77.06279985200001 -86.39307532299999  0.027984247036861053 0.4595621354730041 -0.17536585661280907
-75.162946852 -84.830020323  0.04175994093470848 0.5047078713601777 -0.1807984913616764
-73.263092852 -83.266965323  0.04089335717442908 0.5361561554323613 -0.17364319387016258
-71.36323985199999 -81.703910323  0.0234955501788091 0.5515489129606503 -0.15212608834792596
-69.46338685200001 -80.140854323  -0.008260751811269335 0.5526840750110565 -0.11838888941104757
-67.56353285200001 -78.577799323  -0.04694542215632887 0.5453670116237157 -0.07974460970359754
-65.663679852 -77.014744323  -0.0815342699692129 0.5371383888406958 -0.047444111008958276
