-128.501327852 -23.870869322999994  0.03738907770112406 -0.081151345309413 0.22835445535309104
-126.601474852 -22.30781332299999  0.07332499504810937 -0.08308230373626903 0.2183895624224671
-124.70162185200002 -20.744758323  0.10874897357345592 -0.08353912239408746 0.2064184627202961
-122.80176785200001 -19.181703322999994  0.14309504038240423 -0.08280257561931326 0.19262544844463594
-120.901914852 -17.618648322999988  0.1757474174852017 -0.08124425096709835 0.17742462792517266
-119.002061852 -16.055593322999997  0.20604705773041224 -0.07940279936478946 0.16119343255238075
-117.10220785199999 -14.492537322999993  0.2334830472484283 -0.0776621325624401 0.1443871016294721
-115.20235485200001 -12.929482322999988  0.257560889539122 -0.07657683393411994 0.12747882814550077
-113.302501852 -11.366427322999996  0.2780415942555588 -0.07650980760802249 0.11067574064225712
-111.402647852 -9.80337232299999  0.29487981226692667 -0.07775004306796125 0.09418438932599481
-109.502794852 -8.240317323  0.30782284877385707 -0.08045862252549017 0.07832875058779623
-107.60294185200001 -6.677262322999994  0.3167317729089119 -0.08476382010620805 0.0631514018086783
-105.70308785200001 -5.114206322999991  0.3215837515120915 -0.09051768240098021 0.04869414220857183
-103.803234852 -3.551151322999999  0.32215087503102535 -0.09772229690104237 0.035137468185708086
-101.903381852 -1.9880963229999935  0.31835096330006024 -0.10622245458395271 0.02228556074817517
-100.00352885200002 -0.42504132299998787  0.3102268973720425 -0.11585890155199842 0.010171061361562685
-161.820005852 -109.221907323  -0.12647447956827879 -0.0012931734328007738
-159.920151852 -107.65885232299999  0.28113625132968356 -0.13788697021477575 -0.01212354085593993
-158.020298852 -106.095797323  0.2603403674571432 -0.14987059506381553 -0.022295086759650844
-156.12044585200002 -104.532742323  0.23573659446068904 -0.16218812904900232 -0.03197258131046372
-154.220591852 -102.96968732299999  0.20768610846269178 -0.17444267447052425 -0.04124816933279527
-152.320738852 -101.406631323  0.17655047094927057 -0.18626546691038257 -0.05016488150120083
-150.420885852 -99.843576323  0.14298062749327886 -0.19740563594065028 -0.05885973111393514
-148.52103185200002 -98.28052132299999  0.10779766319450411 -0.20750341196299862 -0.06753142356782675
-146.621178852 -96.717466323  0.07168496532646937 -0.2162735610126554 -0.07616982360713936
-144.721325852 -95.15441132299999  0.03547230925090856 -0.22353543834644743 -0.08495718152785432
-142.821471852 -93.59135532299999  6.881224917094162e-05 -0.22914077091112398 -0.09397833219430973
-140.921618852 -92.028300323  -0.03383912754800049 -0.2329881385710983 -0.10312355072531426
-139.02176585200002 -90.46524532299999  -0.06562161030770272 -0.23508901083594552 -0.11247212805175939
-137.121912852 -88.902190323  -0.09461354308382984 -0.23549319927904241 -0.12203937259396307
-135.222058852 -87.339135323  -0.12033357330979072 -0.2343148781452639 -0.13179155781053992
-133.322205852 -85.776080323  -0.14250106443446858 -0.23173326983472767 -0.1416009608943329
-131.42235285200002 -84.213025323  -0.16068707444174135 -0.22781245047755405 -0.151517033476185
-129.522498852 -82.649969323  -0.1747143343746391 -0.22268811579573985 -0.16151874146682876
-127.622645852 -81.086914323  -0.18446505924235784 -0.21652763904508476 -0.17139171453986
-125.722792852 -79.523859323  -0.18985383067259187 -0.2093851833822974 -0.1812709182600639
-123.822938852 -77.96080432299999  -0.19070536010457928 -0.2013050257986288 -0.19109122154248165
-121.92308585200001 -76.397749323  -0.1871379751017132 -0.19234476304206582 -0.20069796634661782
-120.023232852 -74.834694323  -0.17929442836666315 -0.18254544880142673 -0.21007542381662034
-118.123379852 -73.27163832299999  -0.1673683981673589 -0.17195665706209523 -0.21913918483689668
