-147.769384806 -73.049819627  -0.22213104163414288 0.29974735847329415 0.11087792160952475
-146.46626080599998 -70.96308762700001  -0.2331160666456012 0.2687434411831013 0.11762405890906226
-145.16313580599999 -68.87635562700001  -0.23234732051620058 0.21989515691244002 0.12923581713321802
-143.860011806 -66.789623627  -0.2194763708242595 0.1552645387580086 0.14514816867192898
-142.556887806 -64.70289162700001  -0.19452523432803362 0.07938232291813635 0.16414152800449122
-141.253762806 -62.616158627000004  -0.1573362045078587 -0.00041347685622258927 0.1837479760809465
-139.950638806 -60.52942662700001  -0.10871831885648407 -0.07688716729734808 0.2019917012576729
-138.647514806 -58.442694627  -0.05145572153220438 -0.1427482399372703 0.21704282800527047
-137.34438980599998 -56.355962627000004  0.009303859167226656 -0.1929265515097941 0.22782638882323458
-136.04126580599998 -54.269230627000006  0.06820251958470236 -0.22577808439306113 0.23415662632598394
-134.738141806 -52.182498627  0.1205792797779438 -0.24147378104538159 0.23627859643620747
-133.435016806 -50.095766627  0.16235911511393342 -0.2410782128154032 0.23485504274769037
-132.131892806 -48.009034627000005  0.19073384785814698 -0.2259153949917302 0.23050672569462755
-130.828768806 -45.92230262700001  0.20496126369291828 -0.19696756211260702 0.2235825889512348
-129.525643806 -43.835569627000005  0.20600258015028505 -0.1550988062696021 0.21412138428091193
-128.22251980599998 -41.748837627  0.19568683174595233 -0.10176654448088915 0.20203163491797393
-126.91939480599999 -39.662105627  0.17599963237389316 -0.039351805572262206 0.1871475125671539
-125.61627080599999 -37.575373627000005  0.1475627191556149 0.028476336285234043 0.16972063709348303
-124.31314680599999 -35.48864162700001  0.10985531107195994 0.09694685469749133 0.15028174700246172
-123.010021806 -33.40190962700001  0.06298818587948253 0.16018175343417582 0.12996105214232304
-121.706897806 -31.31517762700001  0.01048760664367517 0.2137191708228902 0.11042377581785943
-120.403773806 -29.228444627000002  -0.04385857120072328 0.2563547204167976 0.09303073636627193
-119.10064880600001 -27.141712627000004  -0.0965612025350054 0.2866635982215295 0.07901180291864575
-117.79752480599998 -25.054980627000006  -0.14464502851013114 0.30277831132842936 0.0693132552542543
-116.49440080599999 -22.96824862700001  -0.1854495876884375 0.30261429753812347 0.06449298176276524
-115.191275806 -20.88151662700001  -0.2169923705834788 0.28447212409612116 0.06487785767452196
-113.888151806 -18.794784627  -0.2378212215970162 0.24769371312161856 0.07047427741566174
-112.585026806 -16.708052627  -0.2464704063486112 0.1931168408529988 0.08097936664046847
-111.281902806 -14.621320627000003  -0.2420431363825208 0.12363070777616879 0.09591169359577449
-109.97877880600001 -12.534588627000005  -0.22397340269654953 0.044262250551579625 0.11406336578789883
-108.67565380599999 -10.44785562700001  -0.19165128788108735 -0.03709933244671741 0.13312909998944958
-107.37252980599999 -8.361123626999998  -0.1453826458308006 -0.11284909362742736 0.15096632098067267
-106.06940580599999 -6.274391627  -0.08746928199847567 -0.17567872525483688 0.16569443797395042
-104.766280806 -4.187659627000002  -0.023142631268768046 -0.22096619254879094 0.17616076775729236
-103.463156806 -2.1009276270000043  0.04190953747231368 -0.2476661529664273 0.18207396133002282
-102.160032806 -0.014195627000006539  0.10240029053945447 -0.25640299190067156 0.18362269306302348
-162.398799806 -104.52114662700001  0.15347242659133964 -0.2487950598372813 0.1813622819132376
-161.095675806 -102.43441462700001  0.1913795533706777 -0.22651625861228006 0.1762036878044015
-159.792550806 -100.34768262700001  0.21469672457403546 -0.19102270607178864 0.16863263049234054
-158.48942680599998 -98.260950627  0.22382332936322727 -0.1437241216672315 0.15885737472652692
-157.186302806 -96.174218627  0.22052610974952852 -0.08664533720189119 0.14670370229828691
-155.883177806 -94.087486627  0.20679609486771625 -0.02257250566791778 0.1321220135999478
-154.580053806 -92.000754627  0.18348334922568585 0.04460626689243982 0.11542735647348781
-153.276929806 -89.91402162700001  0.1502603879036494 0.10989533215443627 0.09696398092883647
-151.973804806 -87.827289627  0.10636872864783903 0.16819657853664222 0.0777989058145153
-150.670680806 -85.740557627  0.05405041365955384 0.2170561599173328 0.059279399752981556
-149.36755680599998 -83.653825627  -0.0027786405338890503 0.25538626623118743 0.042391809002346334
-148.064431806 -81.567093627  -0.06053536747169821 0.2814335993353237 0.028226468564149145
-146.761307806 -79.48036162700001  -0.11581959720829621 0.29288386534252886 0.01777557035928059
-145.458182806 -77.393629627  -0.16532127895903928 0.28745275023530836 0.011771118719687057
-144.155058806 -75.30689762700001  -0.2065111941786069 0.2635072148244254 0.01072389815103898
-142.851934806 -73.220164627  -0.2372094787432235 0.22076975592507397 0.014564882536467429
-141.54880980599998 -71.133432627  -0.2554877737114803 0.1607511199403645 0.02323712282636778
-140.24568580599998 -69.046700627  -0.2599575893336364 0.08710602243977605 0.036326616387567026
-138.942561806 -66.959968627  -0.24947136483079274 0.005447303421838951 0.052880673558375675
-137.639436806 -64.87323662700001  -0.2229355020210353 -0.07617278728173042 0.07082276727254787
-136.336312806 -62.78650462700001  -0.1800983616203541 -0.14977805016190412 0.08780463264103615
-135.033188806 -60.699772627  -0.12278456666711096 -0.20828216296607333 0.10195544218681246
-133.730063806 -58.613040627000004  -0.056037296528570035 -0.24774644704560203 0.11213130402466875
-132.426939806 -56.526308627000006  0.014241516083999164 -0.26771833562800224 0.11778370847450435
-131.12381580599998 -54.439575627  0.08225222646678534 -0.2693272393369269 0.11901528192220562
-129.820690806 -52.352843627000006  0.1422361345856666 -0.2544963815599683 0.11660026689194448
-128.517566806 -50.266111627  0.1895374872854146 -0.22517092777032655 0.11141317498567287
-127.214441806 -48.179379627  0.22201922201818827 -0.1833537362588204 0.10399067063449907
-125.911317806 -46.092647627000005  0.23942935209491775 -0.13108971588455565 0.09459176288012884
-124.608193806 -44.00591562700001  0.24322060460684708 -0.0708656382108618 0.08312283217221987
-123.305068806 -41.91918362700001  0.23539275681806296 -0.005959066240310725 0.06953979287588091
-122.001944806 -39.832451627  0.2170175283186407 0.059262353414626046 0.054106145964581305
-120.69882080599999 -37.745718627  0.18825692430004576 0.12000146994684853 0.03719093789612132
-119.39569580599999 -35.658986627000004  0.14822982136244767 0.17309052286348003 0.019652664618402937
-118.092571806 -33.57225462700001  0.09764504102073128 0.21715084026957215 0.0023690406462067316
-116.789447806 -31.48552262700001  0.040090410312253535 0.2508151956182022 -0.013860732225596981
-115.486322806 -29.39879062700001  -0.021055420714677357 0.2720577459529244 -0.028014145405864416
-114.18319880600001 -27.312058627  -0.08229985257608526 0.2782355754339437 -0.039095681387546106
-112.88007480600001 -25.225326627  -0.13982187906314938 0.26694448828037615 -0.04632972294681253
-111.57694980599999 -23.138594627000003  -0.19020556129556604 0.23671077283552835 -0.04913807382479419
-110.27382580599999 -21.051862627000006  -0.2306627243982085 0.1878460903700967 -0.04735677315672051
-108.970700806 -18.96512962700001  -0.25863952528776724 0.1228044422573694 -0.04106928629276951
-107.667576806 -16.878397627  -0.27233376578144797 0.04593037813921606 -0.030446137585082515
-106.364452806 -14.791665627  -0.27001574760260866 -0.03657107239149633 -0.016237236212391776
-105.06132780600001 -12.704933627000003  -0.2502150190248657 -0.11670681611157628 -0.00013971139008132162
-103.75820380599998 -10.618201627000005  -0.2120507991464879 -0.18649639618201333 0.015505832236069222
-102.45507980599999 -8.531469627000007  -0.15674355102333037 -0.23929403037417674 0.02879497301501288
-101.15195480599999 -6.444737627000009  -0.08897570736595803 -0.2720058103450197 0.03850302451821473
-99.848830806 -4.358005627000011  -0.01469678868687949 -0.2847992283384341 0.04411995333523481
-98.545706806 -2.271272627000002  0.05973749693328502 -0.2790449592805 0.04560447118122858
-97.242581806 -0.18454062700000406  0.12782803724034983 -0.25684706413018366 0.04381172748316483
-157.481349806 -104.691492627  0.18420374815468799 -0.22053859260935701 0.039512178320415786
-156.178224806 -102.604760627  0.22578872033778627 -0.17269129830957075 0.033181437819423086
-154.875100806 -100.518028627  0.25156943307273383 -0.11597369043694655 0.025186248590084868
-153.57197680599998 -98.431295627  0.26254886561437557 -0.0534728426331349 0.015343555949178226
-152.268851806 -96.344563627  0.26069320335290214 0.010916927404788971 0.003679039825584766
-150.965727806 -94.257831627  0.2472674753079649 0.07269455280092935 -0.009563798888706
-149.662603806 -92.171099627  0.22288561876401922 0.12821543170917957 -0.024001689024517034
-148.359478806 -90.084367627  0.18718782062406522 0.17599918445282614 -0.03939166103257898
-147.056354806 -87.99763562700001  0.13969768320420944 0.2148682356615947 -0.05523377360089418
-145.753229806 -85.91090362700001  0.08314301364764998 0.24320472102759289 -0.0708699192714852
-144.45010580599998 -83.824171627  0.02049818072762032 0.2587780466834433 -0.08521497891903121
-143.14698180599999 -81.737439627  -0.04479114294420818 0.2588212995174585 -0.09726171965513776
-141.843856806 -79.650706627  -0.10881779155066888 0.24099021971892054 -0.10614719412850596
-140.540732806 -77.56397462700001  -0.16772090267739703 0.20420153082535486 -0.11106515962363006
-139.237608806 -75.47724262700001  -0.21771478928313925 0.14944870351173606 -0.11175077846034541
-137.934483806 -73.390510627  -0.2554749245407712 0.0800027548360044 -0.10810553653168846
-136.631359806 -71.30377862700001  -0.27855718905461585 0.001107870908476347 -0.10029063075906747
-135.32823580599998 -69.217046627  -0.2849397854782315 -0.08058124928522889 -0.08892719299503539
-134.025110806 -67.130314627  -0.2727189489270881 -0.15736565479256354 -0.0752188162982086
-132.721986806 -65.043582627  -0.24047748311915396 -0.2215665533520551 -0.06134779488691856
-131.418862806 -62.956849627000004  -0.18869408906347485 -0.2672550705649337 -0.049237781011241724
-130.115737806 -60.870117627000006  -0.12151256405926034 -0.2923900361119921 -0.040033887454550054
-128.812613806 -58.783385627  -0.044893650972252064 -0.2974652254782884 -0.03430503087202878
-127.50948880600001 -56.696653627  0.034507285775696145 -0.28397183997876124 -0.0319672081796326
-126.20636480599998 -54.609921627000006  0.10958747672226234 -0.2541992675929283 -0.03234075106327946
-124.903240806 -52.52318962700001  0.1743476187508673 -0.2109989551578713 -0.034901100675108813
-123.60011580599999 -50.436457627  0.22473082612597406 -0.15759048977198684 -0.03910485407284001
-122.296991806 -48.349725627000005  0.25885875484122545 -0.09731304189345047 -0.04473682434731304
-120.993867806 -46.262992627  0.277170750862646 -0.033971545513258636 -0.051910743583416574
-119.690742806 -44.176260627000005  0.28143418321521085 0.02824486960207482 -0.060575815842641476
-118.387618806 -42.08952862700001  0.273114808313551 0.08556610776388658 -0.070615496475604
-117.08449480600001 -40.00279662700001  0.25328061477320357 0.13574958359708056 -0.08207490649999175
-115.78136980599999 -37.916064627  0.22210350927343742 0.17794032522216552 -0.09491591969017349
-114.47824580599999 -35.829332627  0.17891125109005346 0.21100304959788102 -0.1089334402763095
-113.175120806 -33.742600627  0.12488643264887199 0.23312798656142864 -0.12366606160263538
-111.871996806 -31.655868627000004  0.06265260289773258 0.2419824433860779 -0.13827038260988903
-110.568872806 -29.56913562700001  -0.00470635069579378 0.23493131778134344 -0.15169538420320228
-109.26574780600001 -27.48240362700001  -0.07337526623950012 0.20987010556634092 -0.16269364569857045
-107.96262380600001 -25.395671627  -0.13932443415873397 0.1664537072260638 -0.17023715650003346
-106.65949980599999 -23.308939627  -0.1982100637718565 0.10639148400218283 -0.17376093348920527
-105.35637480599999 -21.222207627000003  -0.2457401777798149 0.03370964128431115 -0.17306998651370714
-104.053250806 -19.135475627000005  -0.2786141368236141 -0.04566054308410891 -0.16823549592848244
-102.750126806 -17.048743627000007  -0.2940726090567136 -0.12480780923248387 -0.1598489531919192
-101.447001806 -14.96201162700001  -0.29004174388842824 -0.19633597213387616 -0.14889749120281687
-100.143877806 -12.875278627  -0.2648229725933873 -0.2532732282712776 -0.13716914085628426
-98.84075380600001 -10.788546627000002  -0.21808866903796387 -0.29074785059245356 -0.12640753158719292
-97.53762880599999 -8.701814627000005  -0.1532819045187243 -0.30749391397183923 -0.11773319323044966
