-30.563288422 -0.02926295999999695  -0.3269481929213647 57.06732788122605 0.28493916571567285
-88.192574422 -102.12864496  177.61398421970583 0.09185979277367005 0.25844461985808737
-86.114473422 -100.81179996  -0.31593517893803974 0.11761588738058128 0.23138979725234127
-84.03637242200001 -99.49495496  -0.2996170288933408 0.148096092249275 0.20397646409161832
-81.95827142200001 -98.17810996  -0.2754472642514248 0.1840619701078616 0.17635792904745323
-79.880170422 -96.86126496  -0.2432733536733027 0.22606682699566272 0.14870848930749955
-77.80206942200002 -95.54441996  -0.2034543932738542 0.27425790541179507 0.12129596781978474
-75.72396942200001 -94.22757496  -0.1571450340409431 0.3280945450993409 0.09461063244465569
-73.645868422 -92.91072996  -0.10663431185388618 0.38597412609005805 0.06933652295616803
-71.567767422 -91.59388496  -0.05573459459955255 0.4442597287762951 0.04690344358818394
-69.48966642200001 -90.27703996  -0.010590959650378689 0.4970466749120488 0.029718739259450812
-67.41156542200001 -88.96019496  0.021956698212034307 0.5390117264004933 0.01888544874702874
-65.333464422 -87.64334996000001  0.036919828067497634 0.5662961318059735 0.013606683632598674
-63.255363422000016 -86.32650496000001  0.0344499728542939 0.5779238358093621 0.009787546811011955
-61.17726242200001 -85.00965996000001  0.02193480480405754 0.5760591153675192 0.0
-59.09916142200001 -83.69281496  0.011383529188293695 0.5643763513737685 -0.02371873483845826
-57.02106142200002 -82.37596996  0.012404383367559366 0.5455349656496696 -0.06515232006734949
-54.94296042200001 -81.05912496  0.02661455143186053 0.5204761023186351 -0.12122056165706174
-52.86485942200001 -79.74227996  0.04770933896570236 0.4893022339680134 -0.18278955007786996
-50.78675842200002 -78.42543496  0.06576813312137213 0.4517962771902744 -0.23881221241746498
-48.708657422000016 -77.10858996  0.07322388790676185 0.4084595193201504 -0.28162662650000764
-46.63055642200001 -75.79174496  0.06774314034226342 0.3607920854564316 -0.3090000823961931
-44.55245542200001 -74.47489996  0.05108569941426484 0.31071591479450256 -0.32281264534177057
-42.474354422000005 -73.15805496  0.026607143843377035 -0.3264952084627735 0.2600601607384048
-159.811026422 -71.84120996  -0.0025168496989485633 0.21033829113501598
-157.732925422 -70.52436496  -0.033896750433416695 0.1627009136573425 -0.3157476227608897
-155.65482542200002 -69.20751996000001  -0.06587939884413295 0.1179816597337072 -0.3055560487174764
-153.576724422 -67.89067496000001  -0.09732637160049024 0.07673089391937066 -0.29401189718255294
-151.498623422 -66.57382996000001  -0.12741070174186117 0.03926726578397651 -0.28194998627754764
-149.420522422 -65.25698496000001  -0.15549878414945809 0.005712967393069693 -0.26989115939483527
-147.34242142200003 -63.94013996  -0.1811011757985602 -0.023999036869969584 -0.258247969137639
-145.26432042200003 -62.62329496  -0.20382606646050874 -0.05009055152805637 -0.24725345830444875
-143.18621942200002 -61.30644996  -0.223394554506463 -0.07290321362188447 -0.23702631537223406
-141.10811842200002 -59.98960496  -0.23960766835521016 -0.09286343647257252 -0.2275969094617234
-139.03001742200001 -58.67275996  -0.252334534439874 -0.11044974217603057 -0.21892655599200042
-136.951917422 -57.35591496  -0.2615007677157488 -0.12614954019405572 -0.21089035295424471
-134.873816422 -56.039069960000006  -0.2670748553805704 -0.14044827458320447 -0.20342950808895932
-132.795715422 -54.722224960000005  -0.2690548789482345 -0.15378813299175442 -0.19639278157173018
-130.717614422 -53.405379960000005  -0.2674563517359682 -0.16655865679536902 -0.18954503081499502
-128.639513422 -52.088534960000004  -0.26229971661852075 -0.17907788346177347 -0.18274812021313064
-126.56141242200002 -50.77168996  -0.2536003788385895 -0.1915820186489431 -0.17582555710438036
-124.48331142200001 -49.45484496  -0.2413467958826041 -0.20417718097134188 -0.1686072314994321
-122.40521042200001 -48.13799996  -0.22552411143684675 -0.21689082443044996 -0.16091681264022717
-120.327109422 -46.82115496  -0.20608096991828836 -0.229727737039308 -0.1525755653942659
-118.249009422 -45.50430996  -0.18306682486535242 -0.24267927953596777 -0.14338116013197555
-116.17090842200001 -44.18746496  -0.15625543218909435 -0.2556629887363074 -0.13330276501620783
-114.092807422 -42.870619960000006  -0.1254879897658056 -0.2684928625758988 -0.12213147139027776
-112.014706422 -41.553774960000005  -0.09047558881233025 -0.2808684166916528 -0.10983105667620355
-109.93660542200001 -40.236929960000005  -0.05083994151404075 -0.2923624914642366 -0.09638168741240967
-107.85850442200001 -38.92008496  -0.0061410119968860226 -0.30241026229851026 -0.08183208720241222
-105.780403422 -37.60324096000001  0.0441112793026379 -0.31033059489006365 -0.06631047777935316
-103.70230242200002 -36.28639496000001  0.10028778595519676 -0.3151002305905694 -0.05018040317780141
-101.62420142200001 -34.96954996000001  0.16271099826004912 -0.315722426018234 -0.03389534847843997
-99.546101422 -33.65270496000001  0.23102269225386182 -0.31080400316714385 -0.018285225132927546
-97.468000422 -32.33585996000001  0.30422858730420055 -0.29877861869726635 -0.004739775899174075
-95.38989942200001 -31.019014960000007  0.379801264775737 -0.27806085226727667 0.00504773305687578
-93.31179842200001 -29.702169960000006  0.45340484265050146 -0.24761468996469055 0.008909875386159895
-91.233697422 -28.385325960000003  0.5189043420840962 -0.20802480734076592 0.005107226140878076
-89.15559642200002 -27.068479960000005  0.5694201704211498 -0.1627412686066712 -0.006379726671294421
-87.07749542200001 -25.75163596  0.599982277944215 -0.11932260233076963 -0.022059306696850165
-84.99939442200001 -24.434789960000003  0.6096360432716067 -0.08760019956748888 -0.03502617117465992
-82.92129442200002 -23.11794596  0.601568074180611 -0.07672085781500516 -0.03690608099687034
-80.84319342200001 -21.801099960000002  0.5800310307943858 -0.09070464374275763 -0.021896548664198337
-78.76509242200001 -20.48425596  0.5477097781521361 -0.12758849745018006 0.01169432648898391
-76.686991422 -19.167410959999998  0.5046828717731713 -0.17891790187304427 0.05965696713497206
-74.60889042200002 -17.850565959999997  0.4508603584744373 -0.23239360812364754 0.11327637268347912
-72.53078942200001 -16.533720959999997  0.38757472238732005 -0.2762239488908191 0.16282415161293415
-70.45268842200001 -15.21687596000001  0.31799787821961034 -0.3033532262226932 0.20156443971327662
-68.374587422 -13.90003096000001  0.2463566593967738 -0.3127756883312707 0.22741659316971244
-66.29648642200002 -12.583185960000009  0.17629828712727516 -0.30762760082897805 0.24175592495167658
-64.21838642200001 -11.266340960000008  0.1100781287261277 -0.2924166118711712 0.24733175924434062
-62.140285422000005 -9.949495960000007  0.048666014086658 -0.27123282703915985 0.24665283853839381
-60.062184422000016 -8.632650960000007  -0.007734283773214215 -0.2470642926352624 0.24176467580297845
-57.98408342200001 -7.315805960000006  -0.059087379898259684 -0.2219886071790233 0.23376981828157203
-55.90598242200001 -5.998960960000005  -0.10558758053561779 -0.19741178936153053 0.22344125429177936
-53.827881422000004 -4.682115960000004  -0.14752323885709132 -0.1741394192353292 0.21136501616123493
-51.749780422000015 -3.3652709600000037  -0.18505756460683048 -0.15253922863324956 0.19793179002797615
-49.67167942200001 -2.048425960000003  -0.21823535220289836 -0.13268118330993742 0.183414981752817
-47.59357842200001 -0.7315809600000023  -0.24697688570465412 -0.11442167459109881 0.16800031822168338
-105.22286442200001 -102.83096296000001  -0.09746911692770817 0.15190221283814626
-103.14476342200001 -101.51411796000001  -0.2908769944880825 -0.08145673834985552 0.13519329463849322
-101.06666242200001 -100.19727296  -0.3055723417840424 -0.0658917909779789 0.11797598119334822
-98.988561422 -98.88042796  -0.31510768872370576 -0.0501940617742338 0.10030957154143011
-96.91046042200001 -97.56358296  -0.31927809875256874 -0.033653188273006 0.08222229237573836
-94.83236042200001 -96.24673796  -0.31785115467823927 -0.015457178313117376 0.06373393083757369
-92.754259422 -94.92989296  -0.31058133945089533 0.00528361130506879 0.04466787794408861
-90.67615842200001 -93.61304796  -0.2972276461099992 0.02955033298348064 0.02510263073382304
-88.59805742200001 -92.29620296  -0.27758459085589593 0.05838699949293508 0.004802430391951803
-86.519956422 -90.97935796  -0.2515387467752337 0.09284501595674698 -0.01626701906158857
-84.441855422 -89.66251296  -0.21916279148804005 0.13388973320930103 -0.03827404525962308
-82.36375442200001 -88.34566796  -0.18081639159333382 0.18227374716357128 -0.061107829057945776
-80.28565342200001 -87.02882296  -0.1372708097412849 0.2382897490640239 -0.08459958351040106
-78.207552422 -85.71197796  -0.08995989831481042 0.30102355830520255 -0.10776263409120895
-76.12945242200001 -84.39513296  -0.04177910312607555 0.3682168275060955 -0.12903246056515347
-74.05135142200001 -83.07828796000001  0.0033162939078915372 0.4364123009009029 -0.14645363997986474
-71.973250422 -81.76144296000001  0.04003533861818089 0.5008691224570508 -0.15720361203382477
-69.895149422 -80.44459796000001  0.06239721746078382 0.5561497000172684 -0.1583487771383649
-67.81704842200001 -79.12775296000001  0.06524439782560992 0.5974560926296367 -0.14785605931735782
-65.73894742200001 -77.81090796000001  0.047435894357277554 0.6224512840187806 -0.12682646625002952
-63.660846422000006 -76.49406296000001  0.015142720227321063 0.6325428306352512 -0.10125315383899694
-61.582745422000016 -75.17721796000001  -0.018651683856925186 0.6319401730093177 -0.08136685383866392
-59.50464542200001 -73.86037296  -0.04026265010089855 0.6250594265927912 -0.07692620426213077
-57.426544422000006 -72.54352796  -0.042884667171373646 0.6142489137987243 -0.09218875053069046
-55.34844342200002 -71.22668296  -0.02911136268620203 0.5988855989590143 -0.12407631784493352
-53.27034242200001 -69.90983796  -0.008156438229485138 0.5764913882739721 -0.16399704080002128
-51.19224142200001 -68.59299296  0.009202721786853649 0.5446867082473824 -0.2019356702305813
-49.11414042200002 -67.27614796  0.015592409573230335 0.5030535650729427 -0.23066826694004983
-47.036039422000016 -65.95930296  0.00892737716866044 0.45339184137488003 -0.24764193398551462
-44.95793842200001 -64.64245796  -0.008999448607551405 0.3986994669953894 -0.2538282995666741
-42.87983742200001 -63.32561296  -0.034967374852055616 0.34207446864891133 -0.251659775597133
-40.801737422 -62.00876796  -0.06583799616881587 0.28612667202163206 -0.2436469535462779
-38.723636422 -60.69192296000001  -0.09905474666228932 0.23279340678070662 -0.23197846717384885
-36.64553542200002 -59.375077960000006  -0.13264857044797623 0.18338006849277178 -0.2182527177141322
-34.56743442200002 -58.058232960000005  -0.165120589272211 -0.20354212810352215 0.13864181988135107
-151.904106422 -56.741387960000004  -0.19533398580680417 0.09887857658246298
-149.826005422 -55.424542960000004  -0.22243846452962557 0.06402525004928941 -0.1740903807663316
-147.747904422 -54.10769796  -0.24581916708844742 0.033740515617748955 -0.16012831518132054
-145.669803422 -52.79085296  -0.2650577245498165 0.0074914207001107866 -0.14689792518967718
-143.59170242200003 -51.47400796  -0.27989945541747563 -0.015375661102958635 -0.13441928105793516
-141.51360242200002 -50.15716296  -0.29022224564331844 -0.03555031244934549 -0.12263176979128074
-139.43550142200002 -48.84031796  -0.2960143466491653 -0.05374167528823921 -0.11153699280179954
-137.357400422 -47.52347296000001  -0.2973078830330024 -0.07062362922637454 -0.10100690663696762
-135.279299422 -46.206627960000006  -0.2941521409236913 -0.08683351638324385 -0.09095245810464887
-133.201198422 -44.889782960000005  -0.28659827575350993 -0.10293919183632556 -0.0811708614582498
-131.123097422 -43.572937960000004  -0.27469763094773486 -0.11942296760320706 -0.0715540211281573
-129.044996422 -42.256092960000004  -0.2584938343606094 -0.1366494198871409 -0.06195470743996104
-126.96689542200001 -40.93924796  -0.23800798637315146 -0.15475770626833477 -0.05223962428778279
-124.88879442200002 -39.62240296  -0.213316270770933 -0.1737582349567421 -0.04224807314456067
-122.81069342200001 -38.30555796  -0.18441091346437166 -0.1936032079497117 -0.03185585515569114
-120.73259342200001 -36.98871296  -0.15141112085057762 -0.21420779327420647 -0.020855007810491932
-118.654492422 -35.67186796  -0.11415962965374592 -0.23538734645153628 -0.009175491523261005
-116.576391422 -34.35502296  -0.0725091733271599 -0.2567585298515485 0.0031853942341919747
-114.49829042200001 -33.03817796  -0.026200155999624792 -0.2776955225882951 0.01619535342312534
-112.420189422 -31.721332959999998  0.025099391034208537 -0.29725904982976187 0.029563614767401897
-110.342088422 -30.404487959999997  0.08176012793870228 -0.3141108379527574 0.04279060348668601
-108.26398742200001 -29.087642959999997  0.14408323347267954 -0.3264055750430084 0.05500058244798231
-106.18588642200001 -27.77079796000001  0.21206489048076657 -0.3316979520090228 0.06476653113911533
-104.107785422 -26.45395296000001  0.28501246532954766 -0.32696208083626466 0.06994707112640924
-102.02968542200001 -25.13710796000001  0.3607835840578667 -0.30901337458992767 0.06777853211662924
-99.95158442200001 -23.820262960000008  0.43562187706557326 -0.27573142037844034 0.05542195535192106
-97.873483422 -22.503417960000007  0.5038932106073334 -0.2283289885876538 0.03210685290957025
-95.795382422 -21.186572960000007  0.55963148272528 -0.17366758579498512 0.0011410048347087651
-93.71728142200001 -19.869727960000006  0.5989166748293914 -0.12408962087521895 -0.029128824858856407
-91.63918042200001 -18.552882960000005  0.621199586807424 -0.09323569260780304 -0.047962274213100446
-89.561079422 -17.236037960000004  0.6280189014692241 -0.0902678133857611 -0.0470081412183254
-87.48297842200002 -15.919192960000004  0.6205024834541627 -0.11665665980964286 -0.023804630775460082
-85.40487742200001 -14.602347960000003  0.597772783307668 -0.1657637232552816 0.016691023076373688
-83.326777422 -13.285502960000002  0.5585092297491113 -0.22491396195350294 0.06364080924157994
-81.24867642200002 -11.968657960000002  0.5031260024180596 -0.28043576293279393 0.10514436639156992
-79.17057542200001 -10.65181296  0.4348205033165122 -0.32286361480865255 0.13371562084502936
-77.09247442200001 -9.33496796  0.35900418521824173 -0.3489660392571101 0.14766620816809237
-75.014373422 -8.01812296  0.2813426708129049 -0.3601299029099389 0.14938443296101345
-72.93627242200002 -6.701277959999999  0.20618825130770632 -0.35968513952995046 0.14255653677774494
-70.85817142200001 -5.384432959999998  0.13606890786208586 -0.35125787001331193 0.13047644839085817
-68.78007042200001 -4.067587959999997  0.07210680170632627 -0.3375537479779821 0.1155163699284741
