-139.237608806 -75.47724262700001  -0.21497542233489184 0.1395904133440112 -0.11327690768229687
-137.934483806 -73.390510627  -0.2510240360924439 0.0687726790501355 -0.11093524724070686
-136.631359806 -71.30377862700001  -0.2727720935105539 -0.009102189485318577 -0.10482022903444134
-135.32823580599998 -69.217046627  -0.2787245385408407 -0.08755526527580972 -0.09539063725396307
-134.025110806 -67.130314627  -0.2674785618771945 -0.1598391653291738 -0.08352046233649671
-132.721986806 -65.043582627  -0.23791111885434424 -0.2197137399652149 -0.07084887025095182
-131.418862806 -62.956849627000004  -0.19011826687178884 -0.2624861991167656 -0.05893386218385824
-130.115737806 -60.870117627000006  -0.12717236049463845 -0.2865638350123954 -0.048862076052291405
-128.812613806 -58.783385627  -0.053841678736166965 -0.29212068870327174 -0.041445992377317734
-127.50948880600001 -56.696653627  0.0241909723099997 -0.2800459180157287 -0.03707118937193709
-126.20636480599998 -54.609921627000006  0.10021789909539867 -0.2519557329840982 -0.03555524142178044
-124.903240806 -52.52318962700001  0.16785797386698934 -0.21016820858047736 -0.036712255265458106
-123.60011580599999 -50.436457627  0.22200365967476193 -0.1576027883613335 -0.04008738563533931
-122.296991806 -48.349725627000005  0.2595496858416834 -0.09751835892016478 -0.04533898253870051
-120.993867806 -46.262992627  0.28012182091856086 -0.03378473466408472 -0.05238493684964098
-119.690742806 -44.176260627000005  0.28536032393025934 0.02924155402508305 -0.06103752512752593
-118.387618806 -42.08952862700001  0.2770671653214974 0.08753511586867668 -0.07112418887311472
-117.08449480600001 -40.00279662700001  0.2566805094280876 0.13860608554140497 -0.08265487747145962
-115.78136980599999 -37.916064627  0.22463372014202396 0.18154709988973278 -0.0955680478254251
-114.47824580599999 -35.829332627  0.1803655483093524 0.21501875782571286 -0.10960927036653931
-113.175120806 -33.742600627  0.12521703724154346 0.23682476987843662 -0.12427508409930485
-111.871996806 -31.655868627000004  0.06206628472465069 0.2441645173308359 -0.13869421070247456
-110.568872806 -29.56913562700001  -0.0057323483565784915 0.23415037437751252 -0.15184593564244328
-109.26574780600001 -27.48240362700001  -0.0741036172025112 0.20502277617909953 -0.16259171116203755
-107.96262380600001 -25.395671627  -0.13888362134673066 0.15746805497170824 -0.17006739346722383
-106.65949980599999 -23.308939627  -0.1958322030428646 0.09454809093498695 -0.1738697312212922
-105.35637480599999 -21.222207627000003  -0.24105627047014896 0.021359483407254257 -0.17389840175022553
-104.053250806 -19.135475627000005  -0.27186255307328716 -0.05583827235461216 -0.17021661932635987
